統一編號,name,address,公司狀態,money,lat,log
11913502,臺灣水泥股份有限公司,臺北市中山區中山北路2段113號,1,,,
22099548,旺宏電子股份有限公司,新竹科學工業園區新竹市力行路16號,1,,,
4322046,英業達股份有限公司,臺北市士林區後港街66號,1,,,
22099218,華邦電子股份有限公司,中部科學工業園區臺中市大雅區科雅1路8號,1,,,
70796826,日盛金融控股股份有限公司,臺北市中山區南京東路2段85、87號10樓,1,,,
11337775,長榮海運股份有限公司,臺北市中山區民生東路2段166號1至4樓,1,,,
42596018,旭思投資股份有限公司,新竹縣竹北市台元一街5號3樓之7,1,,,
23111915,凱基證券股份有限公司,臺北市中山區成功里明水路698號3樓、700號3樓,1,,,
28990720,?豐(台灣)商業銀行股份有限公司,臺北市信義區基隆路1段333號13樓、14樓,1,,,
3434016,中國人壽保險股份有限公司,臺北市松山區敦化北路122號5樓,1,,,
97172648,臺灣新光商業銀行股份有限公司,臺北市信義區松仁路36號1、3、4、5、19、20、21樓、32號3、4、5、19、20、21樓及32號3樓之1、32號4樓之1、32號5樓之1,1,,,
97176270,台灣大哥大股份有限公司,臺北市信義區菸廠路88號12樓,1,,,
35412204,華新麗華股份有限公司,臺北市信義區松智路1號25樓,1,,,
3244509,亞洲水泥股份有限公司,臺北市大安區敦化南路2段207號30、31樓,1,,,
80342922,旭達投資股份有限公司,臺北市內湖區西康里內湖路1段91巷15-2號7樓,1,,,
97179430,遠傳電信股份有限公司,臺北市大安區敦化南路2段207號28樓,1,,,
59504506,正新橡膠工業股份有限公司,彰化縣大村鄉黃厝村美港路215號,1,,,
51816908,台中商業銀行股份有限公司,臺中市西區民權路87號,1,,,
16450500,瀚宇彩晶股份有限公司,臺北市信義區松智路1號26樓,1,,,
70769567,台灣之星電信股份有限公司,臺北市內湖區堤頂大道二段239號6樓,1,,,
55991080,矽品精密工業股份有限公司,臺中市潭子區大豐里大豐路3段123號,1,,,
86517096,遠東國際商業銀行股份有限公司,臺北市大安區敦化南路2段205、207、209號1樓,1,,,
20828393,宏碁股份有限公司,臺北市松山區民福里復興北路369號7樓之5,1,,,
3557017,臺灣人壽保險股份有限公司,臺北市南港區經貿二路188號8樓,1,,,
12800766,綠點高新科技股份有限公司,臺中市大雅區員林里神林路1段256號,1,,,
53017509,星展(台灣)商業銀行股份有限公司,臺北市信義區松仁路32、36號15、16、17樓,1,,,
58711014,寶成工業股份有限公司,彰化縣福興鄉萬豐村福工路2號,1,,,
28518076,台灣美光記憶體股份有限公司,中部科學工業園區臺中市后里區三豐路4段369號,1,,,
46479103,渣打國際商業銀行股份有限公司,臺北市松山區敦化北路168號1樓、2樓、4樓、7樓至10樓、12樓及170號地下1樓、1樓、2樓、4樓、7樓、9樓、10樓,1,,,
11914002,台灣玻璃工業股份有限公司,臺北市松山區南京東路3段261號11樓,1,,,
42821330,台灣美光半導體股份有限公司,臺北市信義區基隆路1段333號25樓,1,,,
89390656,南亞科技股份有限公司,桃園市龜山區文化里復興三路669號,1,,,
80330257,國票金融控股股份有限公司,臺北市中山區南京東路2段167號4樓之1(Ｂ區)、10樓,1,,,
12868358,緯創資通股份有限公司,新竹科學工業園區新竹市新安路5號,1,,,
23218395,燁聯鋼鐵股份有限公司,高雄市岡山區興隆街600號,1,,,
86380802,聯邦商業銀行股份有限公司,臺北市松山區民生東路3段109號1、2樓,1,,,
34051920,台達電子工業股份有限公司,桃園市龜山區山頂里興邦路31之1號,1,,,
28689155,和碩聯合科技股份有限公司,臺北市北投區立功街76號5樓,1,,,
84894313,宏泰人壽保險股份有限公司,臺北市松山區民生東路3段156號4樓,1,,,
70745361,王道商業銀行股份有限公司,臺北市內湖區堤頂大道2段99號,1,,,
53002013,桃園國際機場股份有限公司,桃園市大園區航站南路9號,1,,,
53658813,澳盛(台灣)商業銀行股份有限公司,臺北市信義區松仁路7號16、17、18樓,1,,,
23357403,光寶科技股份有限公司,臺北市內湖區瑞光路392號22樓,1,,,
11026506,大同股份有限公司,臺北市中山區集英里21鄰中山北路3段22號,1,,,
27253935,全國農業金庫股份有限公司,臺北市中正區館前路71號1、2、3樓、65號8、9樓,1,,,
3084741,中國石油化學工業開發股份有限公司,高雄市大社區經建路1號,1,,,
28428384,臺銀人壽保險股份有限公司,臺北市大安區敦化南路2段69號6樓,1,,,
53100892,寶德能源科技股份有限公司,臺北市信義區松智路1號23樓,1,,,
11395000,萬海航運股份有限公司,臺北市中山區松江路136號10樓,1,,,
84149385,力晶科技股份有限公司,新竹科學工業園區新竹市力行一路12號,1,,,
22956035,群益金鼎證券股份有限公司,臺北市信義區松仁路101號4樓,1,,,
28468548,台灣固網股份有限公司,臺北市大安區敦化南路2段206號7樓,1,,,
70774626,新世紀資通股份有限公司,臺北市內湖區瑞光路218號1樓至11樓,1,,,
11147207,中華開發資本股份有限公司,臺北市松山區南京東路5段125號11、12樓,1,,,
16091049,陽信商業銀行股份有限公司,臺北市士林區福德里中正路255號,1,,,
11332202,東元電機股份有限公司,臺北市中山區松江路156-2號,1,,,
42856999,寶佳資產管理股份有限公司,臺北市內湖區行善路469號2樓,1,,,
27463361,合陽管理顧問股份有限公司,新北市五股區成泰路1段2號9樓,1,,,
96975970,麥寮汽電股份有限公司,雲林縣麥寮鄉中興村台塑工業園區1號之1,1,,,
80173221,凱擘股份有限公司,臺北市中山區八德路2段260號9樓,1,,,
23986634,台朔重工股份有限公司,臺北市松山區精忠里敦化北路201之20號4樓,1,,,
12490306,佳世達科技股份有限公司,桃園市龜山區山鶯路157號,1,,,
86928561,安泰商業銀行股份有限公司,臺北市信義區西村里信義路5段7號16樓、40樓、41樓,1,,,
97170634,京華城股份有限公司,臺北市松山區八德路4段138號、138號7樓，138號12樓、138號地下1樓、138號地下2樓、138號地下3樓、138號地下4樓,1,,,
12205020,中環股份有限公司,臺北市中山區民權西路53號15樓,1,,,
22099836,乾坤科技股份有限公司,新竹科學工業園區新竹縣寶山鄉研發二路2號,1,,,
22266828,遠鼎投資股份有限公司,臺北市大安區敦化南路2段207號34樓,1,,,
12100285,國際票券金融股份有限公司,臺北市中山區南京東路2段167號2、9、10、11樓,1,,,
23218873,錸德科技股份有限公司,新竹縣湖口鄉中興村光復北路42號,1,,,
12545506,匯弘投資股份有限公司,臺北市中山區八德路2段308號11樓之1,1,,,
68387705,奇美實業股份有限公司,臺南市仁德區三甲里三甲子59-1號,1,,,
27928328,大聯大投資控股股份有限公司,臺北市內湖區堤頂大道2段489號8樓,1,,,
75947936,燁輝企業股份有限公司,高雄市橋頭區芋寮路369號,1,,,
14001199,福懋興業股份有限公司,雲林縣斗六市榴中里石榴路317號,1,,,
23060541,聯強國際股份有限公司,臺北市中山區民生東路3段75號4樓,1,,,
84443471,三商美邦人壽保險股份有限公司,臺北市中山區民權東路3段6號3樓,1,,,
86521704,日盛國際商業銀行股份有限公司,臺北市中正區重慶南路1段10號1樓,1,,,
54327209,台塑資源股份有限公司,臺北市松山區精忠里敦化北路201之18號7樓,1,,,
22957301,富邦綜合證券股份有限公司,臺北市大安區仁愛路4段169號2樓及15樓,1,,,
85066002,永豐餘投資控股股份有限公司,高雄市大樹區久堂里久堂路14號,1,,,
68919301,臺南紡織股份有限公司,臺南市東區裕農路511號,1,,,
84149358,世界先進積體電路股份有限公司,新竹科學工業園區新竹縣園區三路123號,1,,,
72058206,太子建設開發股份有限公司,臺南市東區東光里中華東路1段398號8樓,1,,,
23113343,永豐金證券股份有限公司,臺北市中正區重慶南路1段2號7樓、18樓及20樓,1,,,
7435515,新光合成纖維股份有限公司,臺北市中山區南京東路2段123號8樓及12樓,1,,,
23357868,元富證券股份有限公司,臺北市大安區復興南路1段209號1至3樓,1,,,
84149961,聯發科技股份有限公司,新竹科學工業園區新竹市篤行一路1號,1,,,
73252657,統一實業股份有限公司,臺南市永康區蔦松里中正北路837號,1,,,
3489200,裕隆汽車製造股份有限公司,苗栗縣三義鄉西湖村伯公坑39號之1,1,,,
22318678,亞東石化股份有限公司,桃園市觀音區觀音工業區經建四路47號,1,,,
4200199,陽明海運股份有限公司,基隆市七堵區正明里明德一路271號,1,,,
75094900,中華工程股份有限公司,臺北市松山區新聚里東興路12號6樓,1,,,
23535435,欣興電子股份有限公司,桃園市桃園區龜山工業區興邦路38號,1,,,
47255708,神達電腦股份有限公司,新竹科學工業園區新竹縣研發二路1號,1,,,
96972798,好市多股份有限公司,高雄市前鎮區中華五路656號,1,,,
16095410,台北金融大樓股份有限公司,臺北市信義區市府路45號B1-5F及B1之1、4F之1、6F之1、臺北市信義路5段7號59-60樓、89樓、101樓,1,,,
4370927,金寶電子工業股份有限公司,臺北市松山區南京東路5段99號10樓,1,,,
7838854,中鴻鋼鐵股份有限公司,高雄市橋頭區芋寮里芋寮路317號,1,,,
7066907,中國人造纖維股份有限公司,高雄市大社區經建路8號,1,,,
24060203,國產建材實業股份有限公司,臺北市內湖區新湖一路8號7樓,1,,,
3521905,遠東百貨股份有限公司,新北市板橋區新站路16號18樓,1,,,
23707801,鴻準精密工業股份有限公司,新北市土城區中山路3之2號,1,,,
12139612,潤泰創新國際股份有限公司,臺北市中山區八德路2段308號11樓之1,1,,,
96978370,統正開發股份有限公司,高雄市前鎮區中華五路789號,1,,,
3098415,中華汽車工業股份有限公司,臺北市大安區敦化南路2段2號11樓,1,,,
27946233,遠雄巨蛋事業股份有限公司,臺北市信義區松高路1號22樓,1,,,
24991987,合發土地開發股份有限公司,高雄市苓雅區四維三路80號4樓之2,1,,,
12198359,中華票券金融股份有限公司,臺北市內湖區堤頂大道2段99號4樓,1,,,
23218183,統一綜合證券股份有限公司,臺北市松山區新聚里東興路8號1樓、3樓、5樓、11樓,1,,,
16095002,統一國際開發股份有限公司,臺北市信義區松高路11號10樓,1,,,
70808864,台灣金聯資產管理股份有限公司,臺北市中山區中吉里南京東路2段85、87號11、12樓,1,,,
14067826,兆豐票券金融股份有限公司,臺北市中正區衡陽路91號地下1樓、地上2-5樓、10樓,1,,,
23826861,精碟科技股份有限公司,新北市新莊區福興里五權三路14號,1,,,
16093877,板信商業銀行股份有限公司,新北市板橋區縣民大道2段68號,1,,,
23525871,新光三越百貨股份有限公司,臺北市信義區松高路19號7、8、9樓,1,,,
84703052,遠雄人壽保險事業股份有限公司,臺北市信義區松高路1號28樓,1,,,
52367648,長億實業股份有限公司,臺中市西屯區臺灣大道2段910號5樓之7,1,,,
28674272,復盛股份有限公司,臺北市中山區南京東路2段172號1、2、3樓,1,,,
29068963,頂基開發股份有限公司,臺北市內湖區內湖路1段66號6樓,1,,,
4401392,華通電腦股份有限公司,桃園市蘆竹區新莊里大新路814巷91號,1,,,
4748660,聯成化學科技股份有限公司,臺北市南港區南港路1段209號A棟9樓,1,,,
22507241,京元電子股份有限公司,新竹市東區埔頂里公道五路2段81號,1,,,
12305479,興富發建設股份有限公司,臺北市中山區樂群二路267號10樓,1,,,
23474649,兆豐證券股份有限公司,臺北市中正區忠孝東路2段95號3樓,1,,,
3374306,國泰建設股份有限公司,臺北市大安區敦化南路2段218號2樓,1,,,
3098908,日盛證券股份有限公司,臺北市中山區南京東路2段111號3、4樓,1,,,
68921101,京城商業銀行股份有限公司,臺南市中西區西門路1段506號,1,,,
11917107,台灣聚合化學品股份有限公司,高雄市仁武區後安里鳳仁路330號,1,,,
22099890,元太科技工業股份有限公司,新竹科學工業園區新竹市力行一路3號,1,,,
5072925,中租迪和股份有限公司,臺北市內湖區瑞光路362號8樓至12樓,1,,,
22100242,台灣福雷電子股份有限公司,高雄市楠梓區楠梓加工出口區西五街十號,1,,,
97164611,鴻揚創業投資股份有限公司,新北市新店區復興里北新路3段207號15樓,1,,,
24790031,環電股份有限公司,南投縣草屯鎮太平路1段351巷141號,1,,,
33085508,正隆股份有限公司,新北市板橋區民生路1段1號,1,,,
75339004,長興材料工業股份有限公司,高雄市三民區建工路578號,1,,,
94025264,中華紙漿股份有限公司,花蓮縣吉安鄉光華村光華街100號,1,,,
3064421,中央投資股份有限公司,臺北市中山區八德路2段232號6樓,1,,,
84149786,晶元光電股份有限公司,新竹科學工業園區新竹市力行五路5號,1,,,
16744338,開發國際投資股份有限公司,臺北市松山區南京東路5段125號6樓,1,,,
3358805,保誠人壽保險股份有限公司,臺北市信義區松智路1號8樓,1,,,
4406559,長榮國際儲運股份有限公司,桃園市桃園區經國路899號,1,,,
28185226,台灣創新發展股份有限公司,臺北市中正區衡陽路51號13樓之3,1,,,
22555003,統一超商股份有限公司,臺北市松山區東興路8號8樓,1,,,
80328870,中華開發創業投資股份有限公司,臺北市松山區南京東路5段125號11樓,1,,,
27763753,新日光能源科技股份有限公司,新竹科學工業園區新竹市力行三路7號,1,,,
16096852,和平電力股份有限公司,花蓮縣秀林鄉和平村和工二路7號,1,,,
34202841,榮成紙業股份有限公司,彰化縣二林鎮廣興里廣興巷1之1號,1,,,
16636534,寶鑫國際投資股份有限公司,新北市新店區北新路3段207-1號15樓,1,,,
79854797,高雄銀行股份有限公司,高雄市左營區博愛二路168號,1,,,
1456219,中央存款保險股份有限公司,臺北市中正區龍福里南海路3號11樓,1,,,
75280209,東和鋼鐵企業股份有限公司,臺北市中山區長安東路1段9號6樓,1,,,
12526607,和桐化學股份有限公司,高雄市仁武區竹後里竹工二巷1號,1,,,
5091774,世平興業股份有限公司,臺北市南港區成功路1段74號、76號8樓,1,,,
3795101,台灣肥料股份有限公司,臺北市中山區南京東路2段88號6樓,1,,,
16441411,華瑋投資股份有限公司,臺北市北投區光明路167號7樓之2,1,,,
28991447,欣光華股份有限公司,臺北市中山區八德路2段232號5樓,1,,,
